energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,genre
0.0581,134.343,0.64,-14.81,0.104,0.476,0.0572,0.848,1.0,10.0,119917.0,0.76,lofi
0.0586,173.732,0.196,-29.575,0.0845,0.0351,0.0366,0.864,1.0,0.0,185522.0,0.781,electronic
0.0611,171.707,0.369,-24.461,0.115,0.0793,0.0407,0.842,0.0,6.0,116512.0,0.945,lofi
0.0616,54.998,0.222,-23.261,0.099,0.0393,0.0317,0.935,1.0,0.0,148770.0,0.988,lofi
0.0624,69.11,0.227,-28.311,0.109,0.0387,0.0376,0.939,1.0,8.0,195000.0,0.761,electronic
0.0637,109.903,0.382,-18.423,0.094,0.0783,0.0343,0.836,1.0,7.0,155697.0,0.976,electronic
0.0647,69.935,0.16,-26.427,0.108,0.177,0.0379,0.848,0.0,1.0,152309.0,0.968,electronic
0.0657,78.071,0.732,-26.149,0.151,0.939,0.121,0.692,1.0,9.0,135385.0,0.687,lofi
0.0661,77.843,0.171,-25.611,0.112,0.0393,0.0324,0.863,0.0,7.0,123000.0,0.961,electronic
0.0663,75.588,0.137,-18.334,0.154,0.0596,0.0404,0.623,0.0,0.0,285008.0,0.983,ambient
0.0669,130.062,0.755,-25.988,0.108,0.236,0.0599,0.737,0.0,1.0,47101.0,0.174,lofi
0.0669,138.049,0.769,-22.258,0.105,0.231,0.115,0.911,1.0,3.0,104385.0,0.913,lofi
0.072,160.113,0.419,-19.041,0.0959,0.0615,0.0302,0.915,0.0,10.0,215293.0,0.961,electronic
0.0727,129.911,0.482,-21.779,0.0993,0.37,0.0358,0.953,0.0,2.0,73719.0,0.949,world
0.0732,88.092,0.18,-24.359,0.112,0.0703,0.0326,0.94,1.0,3.0,256039.0,0.954,electronic
0.0734,97.917,0.604,-20.326,0.0684,0.293,0.076,0.0103,1.0,6.0,160040.0,0.852,world
0.0745,115.856,0.219,-23.757,0.0789,0.0385,0.041,0.955,1.0,1.0,215073.0,0.975,electronic
0.0748,48.232,0.207,-22.754,0.0571,0.0385,0.0328,0.9,1.0,11.0,269861.0,0.904,electronic
0.0786,80.041,0.7,-13.826,0.112,0.568,0.173,0.941,1.0,0.0,72016.0,0.643,lofi
0.0798,86.126,0.254,-19.993,0.0734,0.0679,0.0308,0.977,1.0,2.0,181093.0,0.943,electronic
0.0808,61.999,0.22,-24.81,0.12,0.0345,0.0342,0.706,1.0,9.0,134535.0,0.896,ambient
0.0823,67.238,0.252,-27.338,0.0857,0.0381,0.0344,0.928,1.0,5.0,86320.0,0.951,electronic
0.0859,140.209,0.896,-16.803,0.109,0.0863,0.426,0.92,0.0,3.0,147429.0,0.802,lofi
0.0867,129.989,0.696,-25.203,0.108,0.349,0.0418,0.922,1.0,7.0,98750.0,0.988,pop
0.0869,144.325,0.687,-16.182,0.176,0.49,0.0349,0.95,0.0,7.0,109719.0,0.894,world
0.0902,69.995,0.543,-20.406,0.104,0.205,0.04,0.829,0.0,11.0,167156.0,0.975,lofi
0.0908,173.629,0.219,-28.23,0.119,0.138,0.0445,0.939,1.0,1.0,133333.0,0.989,lofi
0.0909,69.004,0.422,-23.049,0.0989,0.0981,0.0546,0.886,0.0,5.0,193958.0,0.871,lofi
0.0917,70.294,0.24,-20.167,0.0767,0.0385,0.0357,0.867,1.0,10.0,217760.0,0.964,electronic
0.0924,158.049,0.766,-17.886,0.103,0.237,0.117,0.934,1.0,0.0,124557.0,0.897,lofi
0.0929,116.163,0.523,-20.861,0.109,0.192,0.092,0.885,1.0,0.0,153362.0,0.919,lofi
0.0941,67.817,0.192,-21.537,0.0795,0.0527,0.0334,0.89,1.0,2.0,194625.0,0.9,electronic
0.0962,139.943,0.798,-21.004,0.111,0.31,0.0671,0.806,0.0,9.0,138000.0,0.515,lofi
0.0972,86.686,0.443,-16.496,0.115,0.289,0.0793,0.0102,1.0,2.0,100716.0,0.952,ambient
0.0987,78.926,0.497,-18.567,0.244,0.412,0.0442,0.891,1.0,7.0,103240.0,0.989,world
0.102,112.378,0.445,-17.965,0.134,0.108,0.05,0.918,1.0,3.0,126429.0,0.931,lofi
0.104,160.05,0.655,-20.225,0.113,0.192,0.122,0.956,1.0,0.0,135000.0,0.944,lofi
0.105,57.353,0.129,-23.323,0.0837,0.0389,0.0403,0.95,1.0,0.0,182000.0,0.904,electronic
0.106,118.084,0.612,-23.461,0.0854,0.251,0.0348,0.937,1.0,9.0,219267.0,0.99,electronic
0.106,135.693,0.389,-19.97,0.417,0.161,0.0281,0.844,1.0,7.0,146580.0,0.983,world
0.106,143.972,0.643,-15.241,0.0905,0.262,0.0351,0.937,0.0,1.0,273351.0,0.962,world
0.107,100.045,0.68,-19.484,0.105,0.392,0.0363,0.902,0.0,1.0,120013.0,0.992,world
0.107,139.803,0.502,-16.535,0.182,0.403,0.032,0.57,1.0,7.0,95840.0,0.986,world
0.108,140.033,0.769,-18.875,0.108,0.374,0.0977,0.914,0.0,11.0,147857.0,0.877,lofi
0.11,81.876,0.415,-14.901,0.0962,0.234,0.0388,0.00236,1.0,1.0,240147.0,0.951,ambient
0.11,108.157,0.565,-20.446,0.0717,0.0797,0.0293,0.966,1.0,1.0,128889.0,0.96,lofi
0.111,130.032,0.699,-20.595,0.111,0.133,0.0355,0.792,1.0,8.0,155077.0,0.906,lofi
0.113,137.954,0.591,-22.226,0.11,0.122,0.0335,0.883,1.0,11.0,139130.0,0.928,lofi
0.114,102.495,0.351,-23.924,0.0995,0.034,0.0369,0.935,0.0,4.0,144231.0,0.851,lofi
0.114,114.063,0.592,-26.735,0.0848,0.0378,0.0352,0.926,0.0,4.0,151579.0,0.855,lofi
0.115,85.001,0.652,-14.94,0.102,0.49,0.0534,0.914,0.0,5.0,136941.0,0.93,lofi
0.115,119.992,0.793,-15.647,0.0769,0.0774,0.0798,0.929,1.0,4.0,138000.0,0.661,lofi
0.116,81.653,0.648,-14.442,0.105,0.488,0.108,0.895,0.0,11.0,120588.0,0.969,lofi
0.118,139.688,0.251,-22.077,0.0988,0.049,0.0346,0.93,0.0,6.0,123536.0,0.898,electronic
0.119,70.499,0.467,-10.99,0.0973,0.156,0.0401,1.4e-06,1.0,2.0,272485.0,0.969,ambient
0.12,80.113,0.587,-15.175,0.0945,0.349,0.199,0.924,1.0,0.0,132000.0,0.933,lofi
0.122,97.609,0.188,-16.924,0.0754,0.0392,0.0373,0.81,0.0,2.0,187390.0,0.966,electronic
0.124,69.99,0.563,-23.386,0.104,0.163,0.0419,0.932,1.0,6.0,140571.0,0.948,lofi
0.124,95.992,0.771,-22.334,0.09,0.409,0.059,0.902,0.0,9.0,97719.0,0.85,world
0.124,132.077,0.162,-12.6,0.107,0.0686,0.0431,0.602,1.0,2.0,179152.0,0.961,ambient
0.125,86.05,0.315,-18.076,0.139,0.295,0.0329,0.971,0.0,2.0,97719.0,0.846,world
0.125,106.107,0.466,-11.579,0.114,0.108,0.0307,0.0,1.0,2.0,150293.0,0.708,ambient
0.128,74.988,0.887,-16.508,0.111,0.651,0.417,0.926,1.0,2.0,121600.0,0.801,lofi
0.128,109.986,0.522,-18.717,0.0941,0.124,0.0357,0.026,1.0,4.0,187932.0,0.894,lofi
0.128,129.995,0.571,-18.872,0.107,0.263,0.0422,0.955,1.0,7.0,119812.0,0.949,electronic
0.128,159.679,0.599,-17.261,0.115,0.367,0.109,0.121,1.0,10.0,244221.0,0.974,ambient
0.129,137.35,0.483,-20.149,0.106,0.203,0.0349,0.145,0.0,5.0,161929.0,0.947,ambient
0.13,79.993,0.657,-13.182,0.0847,0.321,0.0502,0.341,1.0,9.0,106542.0,0.204,lofi
0.13,128.073,0.688,-13.376,0.165,0.302,0.0658,0.866,0.0,4.0,138750.0,0.943,world
0.13,140.095,0.715,-15.415,0.111,0.501,0.112,0.896,0.0,1.0,137143.0,0.596,lofi
0.131,86.729,0.166,-18.157,0.0877,0.0703,0.0367,0.896,1.0,0.0,148227.0,0.808,electronic
0.131,97.16,0.401,-21.0,0.111,0.0656,0.0333,0.9,1.0,1.0,165773.0,0.977,electronic
0.131,136.039,0.679,-16.647,0.112,0.09,0.0892,0.943,1.0,5.0,128097.0,0.611,lofi
0.132,78.412,0.369,-13.639,0.155,0.367,0.0413,4.69e-06,1.0,0.0,167173.0,0.954,electronic
0.132,126.101,0.352,-14.51,0.0675,0.386,0.036,0.533,0.0,7.0,285953.0,0.988,world
0.132,132.338,0.208,-21.318,0.116,0.0916,0.0389,0.913,1.0,0.0,192000.0,0.95,electronic
0.133,138.056,0.706,-16.205,0.0865,0.491,0.0527,0.852,1.0,6.0,241739.0,0.877,lofi
0.134,140.124,0.794,-12.686,0.112,0.441,0.0834,0.928,0.0,6.0,120857.0,0.924,lofi
0.135,80.008,0.751,-15.65,0.108,0.595,0.0516,0.692,0.0,0.0,168000.0,0.888,lofi
0.135,82.987,0.387,-14.398,0.0948,0.21,0.051,0.0,1.0,7.0,216448.0,0.929,ambient
0.135,118.0,0.503,-18.121,0.107,0.532,0.0377,0.931,0.0,1.0,88746.0,0.95,world
0.136,153.998,0.608,-20.155,0.115,0.354,0.0645,0.926,1.0,1.0,128409.0,0.882,lofi
0.137,116.13,0.173,-22.641,0.0906,0.0391,0.0347,0.965,1.0,9.0,337947.0,0.783,electronic
